"hashtag_id","hashtag_name","country","rank","video_views","publish_count","industry_value","crawl_date","crawl_time"
"52579052","uqashasenrose","Malaysia",1,115722105,857,"News & Entertainment","2025-10-29","13:02:25"
"78885966","kamaladli","Malaysia",2,83301473,580,"News & Entertainment","2025-10-29","13:02:25"
"238194","str","Malaysia",3,15562786,700,"","2025-10-29","13:02:25"
"17308","dude","Malaysia",4,11049657,1418,"","2025-10-29","13:02:25"
"1598096827565062","muruganthunai","Malaysia",5,7463161,2279,"","2025-10-29","13:02:25"
"14900973","murugan","Malaysia",6,8055580,1884,"","2025-10-29","13:02:25"
"142651","ucl","Malaysia",7,14721037,436,"Sports & Outdoor","2025-10-29","13:02:25"
"20377","arsenal","Malaysia",8,11161597,778,"Sports & Outdoor","2025-10-29","13:02:25"
"1685024295924738","တစ်ရွာသားအချစ်ကပိုပါတယ်","Malaysia",9,1138813,1173,"","2025-10-29","13:02:25"
"20919365","cerai","Malaysia",10,30436536,222,"","2025-10-29","13:02:25"
"738019","championsleague","Malaysia",11,15698946,387,"Sports & Outdoor","2025-10-29","13:02:25"
"1665168590164997","applecidergummies","Malaysia",12,6347266,887,"Sports & Outdoor","2025-10-29","13:02:25"
"1861246","22","Malaysia",13,2750842,303,"","2025-10-29","13:02:25"
"7202130792746024987","byoncombat","Malaysia",14,117619476,745,"Sports & Outdoor","2025-10-29","13:02:25"
"46988","jesussaves","Malaysia",15,517799,591,"","2025-10-29","13:02:25"
"7336777660191735810","aiteambatch2","Malaysia",16,33246661,496,"","2025-10-29","13:02:25"
"13297831","nefer","Malaysia",17,2989417,310,"Games","2025-10-29","13:02:25"
"1656218755488770","vetrivelmuruganukkuarogara","Malaysia",18,3156371,821,"","2025-10-29","13:02:25"
"22088531","muruga","Malaysia",19,3566458,501,"","2025-10-29","13:02:25"
"51292514","tabunghaji","Malaysia",20,2670977,278,"","2025-10-29","13:02:25"
"23709","farina","Malaysia",21,8106826,266,"","2025-10-29","13:02:25"
"143249","juventus","Malaysia",22,5063585,167,"Sports & Outdoor","2025-10-29","13:02:25"
"7398204959109414928","aseansummit2025","Malaysia",23,19082338,799,"","2025-10-29","13:02:25"
"1698565837521921","ikhmalnour_","Malaysia",24,18011979,426,"","2025-10-29","13:02:25"
"35863990","harisantrinasional","Malaysia",25,1257437,108,"Education","2025-10-29","13:02:25"
"463567","ilovemybestie","Malaysia",26,766272,175,"","2025-10-29","13:02:25"
"1691383042262017","ikhmalnour","Malaysia",27,10206152,260,"","2025-10-29","13:02:25"
"32250","emotion","Malaysia",28,1241203,358,"","2025-10-29","13:02:25"
"29546340","musimhujan","Malaysia",29,1687509,497,"","2025-10-29","13:02:25"
