"hashtag_id","hashtag_name","country","rank","video_views","publish_count","industry_value","crawl_date","crawl_time"
"7525476975683895314","globalsumudflotilla","Malaysia",1,632409224,59053,"","2025-10-07","10:09:20"
"7911","september","Malaysia",2,8722108,3974,"","2025-10-07","10:09:20"
"81735761","uitmdihatiku","Malaysia",3,71837516,6584,"Education","2025-10-07","10:09:20"
"7552718606400749584","budi95","Malaysia",4,46543402,2230,"","2025-10-07","10:09:20"
"7138199475075907589","setembrodump","Malaysia",5,558114,2672,"","2025-10-07","10:09:20"
"254040","october","Malaysia",6,11423438,4889,"","2025-10-07","10:09:20"
"607294","oktober","Malaysia",7,8806907,2990,"","2025-10-07","10:09:20"
"7525897936547348494","sumudflotilla","Malaysia",8,270268192,33667,"","2025-10-07","10:09:20"
"19939","mygirl","Malaysia",9,3874553,2145,"","2025-10-07","10:09:20"
"5156633","upsi","Malaysia",10,19795872,2209,"","2025-10-07","10:09:20"
"7529600683805245447","livewithlowfollowers","Malaysia",11,7497183,7627,"","2025-10-07","10:09:20"
"12434910","hok","Malaysia",12,10310020,23087,"Games","2025-10-07","10:09:20"
"778795","mds","Malaysia",13,25183335,2471,"","2025-10-07","10:09:20"
"1636599392638978","ardellaryana","Malaysia",14,225816042,7713,"","2025-10-07","10:09:20"
"1608329008080902","sumud","Malaysia",15,160362130,24124,"","2025-10-07","10:09:20"
"1614920596398082","ron95","Malaysia",16,16510869,1018,"Vehicle & Transportation","2025-10-07","10:09:20"
"480978","degree","Malaysia",17,15315162,1830,"","2025-10-07","10:09:20"
"7008726063405039621","septemberdump","Malaysia",18,769952,1295,"","2025-10-07","10:09:20"
"15744","jimin","Malaysia",19,7434389,1419,"News & Entertainment","2025-10-07","10:09:20"
"1636799598241798","pinkcushion","Malaysia",20,18068932,1513,"Beauty & Personal Care","2025-10-07","10:09:20"
"1681945737886722","anakkandungsuluhbudiman","Malaysia",21,5223558,544,"Education","2025-10-07","10:09:20"
"899181","welcomeoctober","Malaysia",22,1148313,791,"","2025-10-07","10:09:20"
