"nickname","user_id","follower_count","bio","vertical","creator_rank","video_index","video_item_id","video_name","video_type","video_url","video_play_count","video_like_count","video_rank"
"Liltage Creator","7478312849783604256",232426,"New Account guys || Main Account 1M+
     Let's boom🚀🧨☄️🔥","Entertainment",1,0,"7551041649565027606","Omg 😳 😱watch how he bring an imaginary friend to reality on got talent 🤯#americangottalent #britainsgottalent #simoncowell #sofiavergara #sofia ","Entertainment","https://www.tiktok.com/@liltagecreator/video/7551041649565027606",1026617,5541,1
"Liltage Creator","7478312849783604256",232426,"New Account guys || Main Account 1M+
     Let's boom🚀🧨☄️🔥","Entertainment",1,1,"7551031485155904791","Omg 😱 🤯look at how Italian magician made the judges ran away on got talent 😱😳#americangottalent #britainsgottalent #simoncowell #sofiavergara #sofia ","Entertainment","https://www.tiktok.com/@liltagecreator/video/7551031485155904791",51826575,306023,2
"Liltage Creator","7478312849783604256",232426,"New Account guys || Main Account 1M+
     Let's boom🚀🧨☄️🔥","Entertainment",1,2,"7551023888814050582","Oh my goodness 😱😳 unimaginable moment on got talent where 600 year old man broke a Diamond😳🤯##americangottalent##britainsgottalent##simoncowell##sofiavergara##sofia","Entertainment","https://www.tiktok.com/@liltagecreator/video/7551023888814050582",709105,2529,3
"Liltage Creator","7478312849783604256",232426,"New Account guys || Main Account 1M+
     Let's boom🚀🧨☄️🔥","Entertainment",1,3,"7550695128671718678","Omg 😳 😱100 year old magician did something Suspicious on got talent 😱🤯#americangottalent #britainsgottalent #simoncowell #sofiavergara #sofia ","Entertainment","https://www.tiktok.com/@liltagecreator/video/7550695128671718678",984651,7718,4
"Liltage Creator","7478312849783604256",232426,"New Account guys || Main Account 1M+
     Let's boom🚀🧨☄️🔥","Entertainment",1,4,"7550250874979831062","Omg 😱 😳incredible moment with Japan magician 🤯😳#americangottalent #britainsgottalent #simoncowell #sofiavergara #sofia ","Entertainment","https://www.tiktok.com/@liltagecreator/video/7550250874979831062",12003622,56293,5
"Liltage Creator","7478312849783604256",232426,"New Account guys || Main Account 1M+
     Let's boom🚀🧨☄️🔥","Entertainment",1,5,"7550238063616724246","Oh my goodness 😱😳700 year old magician left the judges in shock after doing this with mannequin 😳😱#americangottalent #britainsgottalent #simoncowell #sofiavergara #sofia ","Entertainment","https://www.tiktok.com/@liltagecreator/video/7550238063616724246",13087157,193839,6
"Liltage Creator","7478312849783604256",232426,"New Account guys || Main Account 1M+
     Let's boom🚀🧨☄️🔥","Entertainment",1,6,"7549972398095781142","Omg 😳 😱all the judges were completely in shock after what this 700 year old man did 😱🤯#americangottalent #britainsgottalent #simoncowell #sofiavergara #sofia ","Entertainment","https://www.tiktok.com/@liltagecreator/video/7549972398095781142",8415903,95066,7
"Liltage Creator","7478312849783604256",232426,"New Account guys || Main Account 1M+
     Let's boom🚀🧨☄️🔥","Entertainment",1,7,"7547458833380150550","Oh my goodness 😱😳what happened next next left the Audience weeping 😳😱##americangottalent##britainsgottalent##simoncowell##sofiavergara##sofia","Entertainment","https://www.tiktok.com/@liltagecreator/video/7547458833380150550",1482850,6022,8
"Screen Stories","7451179364220355626",373597,"iAmas el cine？🎬 Resúmenes impactantes y secretos ocultos. ¡Síguenos!","Entertainment",2,0,"7552533258135719199","#movie #film #fouryou #edit #fyppppppppppppppppppppppp ","Entertainment","https://www.tiktok.com/@jxs198931/video/7552533258135719199",4869636,477514,1
"Screen Stories","7451179364220355626",373597,"iAmas el cine？🎬 Resúmenes impactantes y secretos ocultos. ¡Síguenos!","Entertainment",2,1,"7552195368063225119","#movie #film #fouryou #edit #fyppppppppppppppppppppppp ","Entertainment","https://www.tiktok.com/@jxs198931/video/7552195368063225119",1716758,141218,2
