"hashtag_id","hashtag_name","country","rank","video_views","publish_count","industry_value","crawl_date","crawl_time"
"7525476975683895314","globalsumudflotilla","Malaysia",1,546374103,56077,"","2025-10-06","10:55:47"
"7911","september","Malaysia",2,9608702,4339,"","2025-10-06","10:55:47"
"81735761","uitmdihatiku","Malaysia",3,69090598,6563,"Education","2025-10-06","10:55:47"
"7552718606400749584","budi95","Malaysia",4,48626540,2383,"","2025-10-06","10:55:47"
"7138199475075907589","setembrodump","Malaysia",5,541151,2727,"","2025-10-06","10:55:47"
"254040","october","Malaysia",6,10241361,4556,"","2025-10-06","10:55:47"
"607294","oktober","Malaysia",7,8079374,2795,"","2025-10-06","10:55:47"
"7525897936547348494","sumudflotilla","Malaysia",8,229098219,31765,"","2025-10-06","10:55:47"
"19939","mygirl","Malaysia",9,3916036,2117,"","2025-10-06","10:55:47"
"5156633","upsi","Malaysia",10,18676342,2157,"","2025-10-06","10:55:47"
"7529600683805245447","livewithlowfollowers","Malaysia",11,6864797,7404,"","2025-10-06","10:55:47"
"12434910","hok","Malaysia",12,9208828,17295,"Games","2025-10-06","10:55:47"
"778795","mds","Malaysia",13,22549683,2446,"","2025-10-06","10:55:47"
"1636599392638978","ardellaryana","Malaysia",14,207506605,7518,"","2025-10-06","10:55:47"
"1608329008080902","sumud","Malaysia",15,132954267,22679,"","2025-10-06","10:55:47"
"1614920596398082","ron95","Malaysia",16,19204243,1131,"Vehicle & Transportation","2025-10-06","10:55:47"
"480978","degree","Malaysia",17,14675378,1873,"","2025-10-06","10:55:47"
"7008726063405039621","septemberdump","Malaysia",18,752652,1305,"","2025-10-06","10:55:47"
"15744","jimin","Malaysia",19,7267064,1420,"News & Entertainment","2025-10-06","10:55:47"
"1636799598241798","pinkcushion","Malaysia",20,16999071,1438,"Beauty & Personal Care","2025-10-06","10:55:47"
"1681945737886722","anakkandungsuluhbudiman","Malaysia",21,4919334,529,"Education","2025-10-06","10:55:47"
"899181","welcomeoctober","Malaysia",22,1135377,789,"","2025-10-06","10:55:47"
"89325860","subsidi","Malaysia",23,22413319,596,"Home Improvement","2025-10-06","10:55:47"
"1671421854177281","unipurple","Malaysia",24,16237117,1127,"Education","2025-10-06","10:55:47"
"7538931","gsf","Malaysia",25,89657653,11914,"Vehicle & Transportation","2025-10-06","10:55:47"
"9151440","unimap","Malaysia",26,6506638,686,"Education","2025-10-06","10:55:47"
"7373619952990814226","budimadani","Malaysia",27,10772203,655,"","2025-10-06","10:55:47"
"7545781839856664598","sumudfloatilla","Malaysia",28,43253145,7747,"","2025-10-06","10:55:47"
"708782","tvk","Malaysia",29,11151263,1076,"News & Entertainment","2025-10-06","10:55:47"
"75911316","flins","Malaysia",30,3470230,671,"Games","2025-10-06","10:55:47"
"266674","wakemeupwhenseptemberends","Malaysia",31,1276361,265,"","2025-10-06","10:55:47"
"1597432659219461","degreelife","Malaysia",32,6783027,911,"","2025-10-06","10:55:47"
"898392","hellooctober","Malaysia",33,968112,550,"","2025-10-06","10:55:47"
"2103","greenday","Malaysia",34,1868515,254,"News & Entertainment","2025-10-06","10:55:47"
"38779","parody","Malaysia",35,24083471,504,"","2025-10-06","10:55:47"
"15035528","animasi","Malaysia",36,23249455,314,"Games","2025-10-06","10:55:47"
"65417244","setel","Malaysia",37,3698291,495,"","2025-10-06","10:55:47"
"7542703493946343431","globalsumudflotillamalaysia","Malaysia",38,35246562,6557,"","2025-10-06","10:55:47"
"223739","parkjimin","Malaysia",39,1998024,699,"News & Entertainment","2025-10-06","10:55:47"
"24069","welcome","Malaysia",40,1280925,576,"","2025-10-06","10:55:47"
"1615356513556482","unisza","Malaysia",41,3641051,591,"Education","2025-10-06","10:55:47"
"6268874","petrol","Malaysia",42,11416332,346,"Vehicle & Transportation","2025-10-06","10:55:47"
"41678957","uthm","Malaysia",43,3973460,848,"Education","2025-10-06","10:55:47"
"1606487767676929","uitmjengka","Malaysia",44,4698743,443,"Education","2025-10-06","10:55:47"
"7060933642012344367","fypシ゚viral?tiktok","Malaysia",45,3055658,949,"","2025-10-06","10:55:47"
"32962826","happydashain","Malaysia",46,3446233,1036,"","2025-10-06","10:55:47"
"9820961","30","Malaysia",47,602692,354,"","2025-10-06","10:55:47"
"1686428385702913","umpsa","Malaysia",48,4189314,372,"Education","2025-10-06","10:55:47"
"1665313117051906","uitmseriiskandar","Malaysia",49,3686708,556,"Education","2025-10-06","10:55:47"
"1629793011746818","misikemanusiaan","Malaysia",50,38171273,2826,"","2025-10-06","10:55:47"
"6881529","budi","Malaysia",51,1430235,281,"","2025-10-06","10:55:47"
"1698865610669058","uitmcpp","Malaysia",52,3672042,352,"Education","2025-10-06","10:55:47"
"1590075130127361","unimapmantap","Malaysia",53,2330836,326,"Education","2025-10-06","10:55:47"
"15865707","30september","Malaysia",54,582240,153,"","2025-10-06","10:55:47"
"1608519082755074","uniszapastitahu","Malaysia",55,1688630,401,"Education","2025-10-06","10:55:47"
"76342564","faktaunik","Malaysia",56,73322188,109,"Education","2025-10-06","10:55:47"
"112892","dior","Malaysia",57,6097262,629,"Apparel & Accessories","2025-10-06","10:55:47"
"31442225","1oktober","Malaysia",58,1824498,166,"","2025-10-06","10:55:47"
"239366","maw","Malaysia",59,2846436,654,"","2025-10-06","10:55:47"
"899060","septemberends","Malaysia",60,100496,182,"","2025-10-06","10:55:47"
"3110686","malaysianboy","Malaysia",61,2410876,506,"","2025-10-06","10:55:47"
"20791","goodbye","Malaysia",62,818267,279,"","2025-10-06","10:55:47"
"55924","mara","Malaysia",63,2224961,385,"","2025-10-06","10:55:47"
"7147367747532537883","skintificcushion","Malaysia",64,1051030,680,"Beauty & Personal Care","2025-10-06","10:55:47"
"79797925","fashionaccessories","Malaysia",65,663953,661,"Apparel & Accessories","2025-10-06","10:55:47"
"1633668293584898","xiaomimalaysia","Malaysia",66,16447364,239,"Tech & Electronics","2025-10-06","10:55:47"
"8063791","sikat","Malaysia",67,3711575,188,"","2025-10-06","10:55:47"
"7284771316291338258","aclelite","Malaysia",68,1055880,150,"Sports & Outdoor","2025-10-06","10:55:47"
"931317","parisfashionweek","Malaysia",69,8475877,338,"Apparel & Accessories","2025-10-06","10:55:47"
"7053133623083401242","subsidiminyak","Malaysia",70,2875184,145,"","2025-10-06","10:55:47"
"1606375327199234","uitmsi","Malaysia",71,1844167,374,"Education","2025-10-06","10:55:47"
"70471751","spnb","Malaysia",72,1948659,617,"Home Improvement","2025-10-06","10:55:47"
"7518218097895931920","shopeelagicepat","Malaysia",73,13424356,1633,"","2025-10-06","10:55:47"
"525669","mms","Malaysia",74,5219175,143,"","2025-10-06","10:55:47"
"7013583521570619418","mhsutem","Malaysia",75,4108027,361,"Education","2025-10-06","10:55:47"
"1678405872545793","minyaksubsidi","Malaysia",76,5340985,89,"","2025-10-06","10:55:47"
"66074","mhs","Malaysia",77,2244501,390,"","2025-10-06","10:55:47"
"7511453613210730501","bonappetiteyourmajesty","Malaysia",78,1550651,242,"News & Entertainment","2025-10-06","10:55:47"
"206378","libra","Malaysia",79,1508441,344,"News & Entertainment","2025-10-06","10:55:47"
"7529508251105230849","northernfestivalofspeed","Malaysia",80,10721351,484,"Vehicle & Transportation","2025-10-06","10:55:47"
"7308884579811590176","oktober2025","Malaysia",81,450369,440,"","2025-10-06","10:55:47"
"7420461571689676817","30092025","Malaysia",82,104826,119,"","2025-10-06","10:55:47"
"28492","donaldtrump","Malaysia",83,14986350,268,"News & Entertainment","2025-10-06","10:55:47"
"42506384","ceritapendek","Malaysia",84,9323774,115,"","2025-10-06","10:55:47"
"890852","endofseptember","Malaysia",85,55645,133,"","2025-10-06","10:55:47"
"29052863","orientasi","Malaysia",86,2167093,146,"Education","2025-10-06","10:55:47"
"19860012","takbir","Malaysia",87,1776615,560,"","2025-10-06","10:55:47"
"7546758539092426768","sumudflotilanusantara","Malaysia",88,7729203,2067,"","2025-10-06","10:55:47"
"34587652","octobermood","Malaysia",89,205589,424,"","2025-10-06","10:55:47"
"939745","pfw","Malaysia",90,6349024,295,"Apparel & Accessories","2025-10-06","10:55:47"
"7421709726309679110","30september2025","Malaysia",91,572839,98,"","2025-10-06","10:55:47"
"7123924459676762139","unipepel","Malaysia",92,2559043,243,"Education","2025-10-06","10:55:47"
"7552312692178944020","satupermulaanseribuimpian","Malaysia",93,1840149,221,"Education","2025-10-06","10:55:47"
"7549122492338536455","sumudflotillanusantara🇲🇾🇸🇩","Malaysia",94,5748770,4108,"","2025-10-06","10:55:47"
"7147545380115677210","coretanmds","Malaysia",95,3394471,278,"Education","2025-10-06","10:55:47"
"1420565","jiminbts","Malaysia",96,564234,210,"News & Entertainment","2025-10-06","10:55:47"
"1605029346920454","uniselawesome","Malaysia",97,924251,213,"Education","2025-10-06","10:55:47"
"18785365","saraswati","Malaysia",98,1224876,149,"","2025-10-06","10:55:47"
"633673","oktoberfest","Malaysia",99,1433676,161,"","2025-10-06","10:55:47"
"1596460838140934","karur","Malaysia",100,2722107,127,"","2025-10-06","10:55:47"
